site,gs,Type,TypicalDate,Date,DaysFromAvg,ndvi,sitenum,avg_ndvi_max,N,Change_ndvi_max
amcamp,2002,senescence date,2002-07-27,2002-08-02,6,0.377537698192224,2,0.561214783449455,23,NA
amcamp,2003,green-up date,2003-03-23,2003-03-11,-12,0.38086144249566767,2,0.561214783449455,23,NA
amcamp,2003,max,2003-05-24,2003-05-11,-13,0.5859907617114212,2,0.561214783449455,23,0.024775978261966203
amcamp,2003,senescence date,2003-07-27,2003-07-12,-15,0.37757906703286714,2,0.561214783449455,23,NA
amcamp,2004,green-up date,2004-03-23,2004-02-23,-29,0.38020069499726966,2,0.561214783449455,23,NA
amcamp,2004,max,2004-05-24,2004-04-22,-32,0.5427697068053448,2,0.561214783449455,23,-0.018445076644110214
amcamp,2004,senescence date,2004-07-27,2004-07-08,-19,0.3769009817429077,2,0.561214783449455,23,NA
amcamp,2005,green-up date,2005-03-23,2005-03-11,-12,0.38194396888053256,2,0.561214783449455,23,NA
amcamp,2005,max,2005-05-24,2005-05-09,-15,0.6130807529019748,2,0.561214783449455,23,0.05186596945251987
amcamp,2005,senescence date,2005-07-27,2005-07-11,-16,0.3744384306462825,2,0.561214783449455,23,NA
amcamp,2006,green-up date,2006-03-23,2006-03-16,-7,0.3785269292299423,2,0.561214783449455,23,NA
amcamp,2006,max,2006-05-24,2006-05-15,-9,0.5932804468951519,2,0.561214783449455,23,0.032065663445696946
amcamp,2006,senescence date,2006-07-27,2006-07-15,-12,0.377488804283175,2,0.561214783449455,23,NA
amcamp,2007,green-up date,2007-03-23,2007-03-25,2,0.37885856649734606,2,0.561214783449455,23,NA
amcamp,2007,max,2007-05-24,2007-05-19,-5,0.5489767487966961,2,0.561214783449455,23,-0.012238034652758856
amcamp,2007,senescence date,2007-07-27,2007-07-27,0,0.37724202713127586,2,0.561214783449455,23,NA
amcamp,2008,green-up date,2008-03-23,2008-05-01,39,0.38963535491233864,2,0.561214783449455,23,NA
amcamp,2008,max,2008-05-24,2008-06-08,15,0.5334391061767274,2,0.561214783449455,23,-0.02777567727272756
amcamp,2008,senescence date,2008-07-27,2008-08-06,10,0.3756186133817816,2,0.561214783449455,23,NA
amcamp,2009,green-up date,2009-03-23,2009-03-31,8,0.3813509065385359,2,0.561214783449455,23,NA
amcamp,2009,max,2009-05-24,2009-05-20,-4,0.5380613336500222,2,0.561214783449455,23,-0.02315344979943279
amcamp,2009,senescence date,2009-07-27,2009-07-20,-7,0.37654795965614346,2,0.561214783449455,23,NA
amcamp,2010,green-up date,2010-03-23,2010-03-19,-4,0.38161974742561017,2,0.561214783449455,23,NA
amcamp,2010,max,2010-05-24,2010-05-20,-4,0.565429892527466,2,0.561214783449455,23,0.004215109078011037
amcamp,2010,senescence date,2010-07-27,2010-08-01,5,0.3768591797981832,2,0.561214783449455,23,NA
amcamp,2011,green-up date,2011-03-23,2011-03-20,-3,0.3791714103657199,2,0.561214783449455,23,NA
amcamp,2011,max,2011-05-24,2011-06-09,16,0.5532580225440726,2,0.561214783449455,23,-0.007956760905382332
amcamp,2011,senescence date,2011-07-27,2011-08-27,31,0.37776747295512186,2,0.561214783449455,23,NA
amcamp,2013,green-up date,2013-03-23,2013-01-29,-53,0.3780263905330516,2,0.561214783449455,23,NA
amcamp,2013,max,2013-05-24,2013-05-26,2,0.556681253844641,2,0.561214783449455,23,-0.004533529604814013
amcamp,2013,senescence date,2013-07-27,2013-08-11,15,0.37669823239248673,2,0.561214783449455,23,NA
amcamp,2014,green-up date,2014-03-23,2014-02-25,-26,0.37885281694996414,2,0.561214783449455,23,NA
amcamp,2014,max,2014-05-24,2014-05-19,-5,0.6328646608182854,2,0.561214783449455,23,0.07164987736883044
amcamp,2014,senescence date,2014-07-27,2014-07-25,-2,0.3753892838163614,2,0.561214783449455,23,NA
amcamp,2015,green-up date,2015-03-23,2015-03-01,-22,0.38112947354877186,2,0.561214783449455,23,NA
amcamp,2015,max,2015-05-24,2015-05-04,-20,0.6269079083047062,2,0.561214783449455,23,0.06569312485525125
amcamp,2015,senescence date,2015-07-27,2015-07-01,-26,0.37663277854064464,2,0.561214783449455,23,NA
amcamp,2016,green-up date,2016-03-23,2016-02-19,-33,0.38196349398273516,2,0.561214783449455,23,NA
amcamp,2016,max,2016-05-24,2016-05-02,-22,0.6530370120061478,2,0.561214783449455,23,0.09182222855669286
amcamp,2016,senescence date,2016-07-27,2016-07-07,-20,0.37510371876436943,2,0.561214783449455,23,NA
amcamp,2017,green-up date,2017-03-23,2017-04-04,12,0.3803307983494922,2,0.561214783449455,23,NA
amcamp,2017,max,2017-05-24,2017-05-31,7,0.6067287847692935,2,0.561214783449455,23,0.045514001319838515
amcamp,2017,senescence date,2017-07-27,2017-07-27,0,0.3735776728316616,2,0.561214783449455,23,NA
amcamp,2018,green-up date,2018-03-23,2018-03-31,8,0.3847609510141819,2,0.561214783449455,23,NA
amcamp,2018,max,2018-05-24,2018-05-23,-1,0.6066704637594023,2,0.561214783449455,23,0.04545568030994729
amcamp,2018,senescence date,2018-07-27,2018-07-23,-4,0.37774419357755584,2,0.561214783449455,23,NA
amcamp,2019,green-up date,2019-03-23,2019-03-31,8,0.38177588581713207,2,0.561214783449455,23,NA
amcamp,2019,max,2019-05-24,2019-05-18,-6,0.5871172028926904,2,0.561214783449455,23,0.025902419443235458
amcamp,2019,senescence date,2019-07-27,2019-08-01,5,0.37622695553187413,2,0.561214783449455,23,NA
amcamp,2020,green-up date,2020-03-23,2020-02-27,-25,0.3803924335243432,2,0.561214783449455,23,NA
amcamp,2020,max,2020-05-24,2020-05-28,4,0.5975251338426615,2,0.561214783449455,23,0.036310350393206514
amcamp,2020,senescence date,2020-07-27,2020-08-26,30,0.37574357092064087,2,0.561214783449455,23,NA
arch,1984,green-up date,1984-06-02,1984-04-17,-46,0.458600175037148,5,0.602584563929998,27,NA
arch,1984,max,1984-09-15,1984-08-03,-43,0.5837040294349077,5,0.602584563929998,27,-0.018880534495090306
arch,1984,senescence date,1984-12-24,1984-11-28,-26,0.456242436681156,5,0.602584563929998,27,NA
arch,1985,green-up date,1985-06-02,1985-05-14,-19,0.45854148741785955,5,0.602584563929998,27,NA
arch,1985,max,1985-09-15,1985-09-03,-12,0.595593110285426,5,0.602584563929998,27,-0.006991453644571988
arch,1985,senescence date,1985-12-24,1985-11-26,-28,0.4549046145454606,5,0.602584563929998,27,NA
arch,1987,green-up date,1987-06-02,1987-06-08,6,0.4583185501674225,5,0.602584563929998,27,NA
arch,1987,max,1987-09-15,1987-10-10,25,0.5354094533476744,5,0.602584563929998,27,-0.06717511058232362
arch,1987,senescence date,1987-12-24,1987-12-27,3,0.45635709865868196,5,0.602584563929998,27,NA
arch,1988,green-up date,1988-06-02,1988-04-05,-58,0.45850192518183247,5,0.602584563929998,27,NA
arch,1988,max,1988-09-15,1988-08-12,-34,0.6258987083508456,5,0.602584563929998,27,0.02331414442084756
arch,1988,senescence date,1988-12-24,1988-12-11,-13,0.45713371850996437,5,0.602584563929998,27,NA
arch,1990,green-up date,1990-06-02,1990-05-25,-8,0.4573479707271694,5,0.602584563929998,27,NA
arch,1990,max,1990-09-15,1990-10-10,25,0.5248480421590732,5,0.602584563929998,27,-0.07773652177092483
arch,1990,senescence date,1990-12-24,1991-01-21,28,0.456875351330693,5,0.602584563929998,27,NA
arch,1992,green-up date,1992-06-02,1992-08-09,68,0.4576884738146994,5,0.602584563929998,27,NA
arch,1992,max,1992-09-15,1992-09-27,12,0.5117423810202986,5,0.602584563929998,27,-0.09084218290969948
arch,1992,senescence date,1992-12-24,1992-12-02,-22,0.4565494259248259,5,0.602584563929998,27,NA
arch,1994,green-up date,1994-06-02,1994-05-18,-15,0.4588419684015896,5,0.602584563929998,27,NA
arch,1994,max,1994-09-15,1994-09-20,5,0.588994808537091,5,0.602584563929998,27,-0.013589755392907077
arch,1994,senescence date,1994-12-24,1995-01-28,35,0.45689630227776046,5,0.602584563929998,27,NA
arch,1995,green-up date,1995-06-02,1995-05-07,-26,0.4574694434635676,5,0.602584563929998,27,NA
arch,1995,max,1995-09-15,1995-09-14,-1,0.5622069799945424,5,0.602584563929998,27,-0.04037758393545565
arch,1995,senescence date,1995-12-24,1995-12-27,3,0.45630638957142006,5,0.602584563929998,27,NA
arch,1996,green-up date,1996-06-02,1996-05-05,-28,0.4581166849325146,5,0.602584563929998,27,NA
arch,1996,max,1996-09-15,1996-07-19,-58,0.508030714151197,5,0.602584563929998,27,-0.09455384977880099
arch,1996,senescence date,1996-12-24,1996-11-27,-27,0.4571505300254307,5,0.602584563929998,27,NA
arch,1998,green-up date,1998-06-02,1998-07-22,50,0.4589018342416437,5,0.602584563929998,27,NA
arch,1998,max,1998-09-15,1998-10-08,23,0.5380264068689363,5,0.602584563929998,27,-0.06455815706106172
arch,1998,senescence date,1998-12-24,1999-01-01,8,0.4567267503750554,5,0.602584563929998,27,NA
arch,1999,green-up date,1999-06-02,1999-06-09,7,0.4587423936771886,5,0.602584563929998,27,NA
arch,1999,max,1999-09-15,1999-09-10,-5,0.5989905894635486,5,0.602584563929998,27,-0.00359397446644949
arch,1999,senescence date,1999-12-24,1999-12-21,-3,0.455008618984449,5,0.602584563929998,27,NA
arch,2000,green-up date,2000-06-02,2000-07-31,59,0.45962951127615714,5,0.602584563929998,27,NA
arch,2000,max,2000-09-15,2000-10-02,17,0.5480405200662535,5,0.602584563929998,27,-0.05454404386374456
arch,2000,senescence date,2000-12-24,2000-11-19,-35,0.45441283382699693,5,0.602584563929998,27,NA
arch,2001,green-up date,2001-06-02,2001-07-04,32,0.45852437069551655,5,0.602584563929998,27,NA
arch,2001,max,2001-09-15,2001-10-09,24,0.5506596149943461,5,0.602584563929998,27,-0.051924948935651916
arch,2001,senescence date,2001-12-24,2002-01-24,31,0.45729462360033346,5,0.602584563929998,27,NA
arch,2002,green-up date,2002-06-02,2002-06-17,15,0.45959735387148765,5,0.602584563929998,27,NA
arch,2002,max,2002-09-15,2002-07-27,-50,0.5612064020030605,5,0.602584563929998,27,-0.04137816192693755
arch,2002,senescence date,2002-12-24,2003-01-04,11,0.45432618361199856,5,0.602584563929998,27,NA
arch,2003,green-up date,2003-06-02,2003-04-25,-38,0.4578149730640906,5,0.602584563929998,27,NA
arch,2003,max,2003-09-15,2003-10-20,35,0.590905580118203,5,0.602584563929998,27,-0.011678983811794996
arch,2003,senescence date,2003-12-24,2004-01-05,12,0.4557729829459244,5,0.602584563929998,27,NA
arch,2004,green-up date,2004-06-02,2004-07-16,44,0.45921308515298137,5,0.602584563929998,27,NA
arch,2004,max,2004-09-15,2004-09-24,9,0.5592598007448657,5,0.602584563929998,27,-0.04332476318513234
arch,2004,senescence date,2004-12-24,2004-12-24,0,0.45727048167151746,5,0.602584563929998,27,NA
arch,2005,green-up date,2005-06-02,2005-04-15,-48,0.45894410658459506,5,0.602584563929998,27,NA
arch,2005,max,2005-09-15,2005-07-17,-60,0.5915336348366991,5,0.602584563929998,27,-0.011050929093298967
arch,2005,senescence date,2005-12-24,2005-11-02,-52,0.45564381270599064,5,0.602584563929998,27,NA
arch,2006,green-up date,2006-06-02,2006-07-15,43,0.45781530918699526,5,0.602584563929998,27,NA
arch,2006,max,2006-09-15,2006-10-02,17,0.5875082577028358,5,0.602584563929998,27,-0.015076306227162273
arch,2006,senescence date,2006-12-24,2007-01-09,16,0.45690282391124903,5,0.602584563929998,27,NA
arch,2007,green-up date,2007-06-02,2007-07-13,41,0.46035108731153357,5,0.602584563929998,27,NA
arch,2007,max,2007-09-15,2007-09-11,-4,0.5855090271164124,5,0.602584563929998,27,-0.017075536813585646
arch,2007,senescence date,2007-12-24,2007-12-08,-16,0.4554674601548623,5,0.602584563929998,27,NA
arch,2008,green-up date,2008-06-02,2008-07-09,37,0.4584444193196265,5,0.602584563929998,27,NA
arch,2008,max,2008-09-15,2008-10-01,16,0.6335781408357907,5,0.602584563929998,27,0.03099357690579263
arch,2008,senescence date,2008-12-24,2009-01-07,14,0.4558493236414144,5,0.602584563929998,27,NA
arch,2009,green-up date,2009-06-02,2009-05-27,-6,0.45932066570891,5,0.602584563929998,27,NA
arch,2009,max,2009-09-15,2009-09-20,5,0.6291304565409191,5,0.602584563929998,27,0.026545892610921107
arch,2009,senescence date,2009-12-24,2010-01-03,10,0.4566173986116394,5,0.602584563929998,27,NA
arch,2010,green-up date,2010-06-02,2010-04-24,-39,0.45786769761257984,5,0.602584563929998,27,NA
arch,2010,max,2010-09-15,2010-09-14,-1,0.5983913852614762,5,0.602584563929998,27,-0.004193178668521869
arch,2010,senescence date,2010-12-24,2010-12-13,-11,0.455381574500713,5,0.602584563929998,27,NA
arch,2011,green-up date,2011-06-02,2011-07-27,55,0.4576425635920518,5,0.602584563929998,27,NA
arch,2011,max,2011-09-15,2011-10-20,35,0.5814696156649304,5,0.602584563929998,27,-0.021114948265067657
arch,2011,senescence date,2011-12-24,2011-12-07,-17,0.45624549875386056,5,0.602584563929998,27,NA
arch,2013,green-up date,2013-06-02,2013-04-22,-41,0.45817580908312205,5,0.602584563929998,27,NA
arch,2013,max,2013-09-15,2013-08-12,-34,0.643694601484475,5,0.602584563929998,27,0.04111003755447695
arch,2013,senescence date,2013-12-24,2013-10-21,-64,0.45445916158770244,5,0.602584563929998,27,NA
arch,2016,green-up date,2016-06-02,2016-04-25,-38,0.45853188031213343,5,0.602584563929998,27,NA
arch,2016,max,2016-09-15,2016-08-16,-30,0.6222904043891218,5,0.602584563929998,27,0.019705840459123714
arch,2016,senescence date,2016-12-24,2017-01-20,27,0.45665061768751725,5,0.602584563929998,27,NA
arch,2017,green-up date,2017-06-02,2017-05-23,-10,0.45991236753924414,5,0.602584563929998,27,NA
arch,2017,max,2017-09-15,2017-08-05,-41,0.6217669143671682,5,0.602584563929998,27,0.019182350437170204
arch,2017,senescence date,2017-12-24,2018-01-24,31,0.45667315203015896,5,0.602584563929998,27,NA
arch,2019,green-up date,2019-06-02,2019-03-26,-68,0.45750282589372243,5,0.602584563929998,27,NA
arch,2019,max,2019-09-15,2019-11-25,71,0.5723909007876723,5,0.602584563929998,27,-0.030193663142325744
arch,2019,senescence date,2019-12-24,2020-01-31,38,0.45584974427888764,5,0.602584563929998,27,NA
