"site_code","date","pre_mm/month","plotdate","month","year"
"abisko.se","Jan/16/2011",70.7000045776367,2011-01-16,1,2011
"ahth.is","Jan/16/2011",64.9000015258789,2011-01-16,1,2011
"amcamp.us","Jan/16/2011",317.399993896484,2011-01-16,1,2011
"amlr.is","Jan/16/2011",64.9000015258789,2011-01-16,1,2011
"anti.ec","Jan/16/2011",81.3000030517578,2011-01-16,1,2011
"arch.us","Jan/16/2011",105.200004577637,2011-01-16,1,2011
"azi.cn","Jan/16/2011",3.29999995231628,2011-01-16,1,2011
"azitwo.cn","Jan/16/2011",3.29999995231628,2011-01-16,1,2011
"badlau.de","Jan/16/2011",31.8999996185303,2011-01-16,1,2011
"bari.ar","Jan/16/2011",22.3000011444092,2011-01-16,1,2011
"barta.us","Jan/16/2011",19.3999996185303,2011-01-16,1,2011
"bayr.de","Jan/16/2011",47.1000022888184,2011-01-16,1,2011
"bldr.us","Jan/16/2011",8.90000057220459,2011-01-16,1,2011
"bnbt.us","Jan/16/2011",30.1000003814697,2011-01-16,1,2011
"bnch.us","Jan/16/2011",114.099998474121,2011-01-16,1,2011
"bogong.au","Jan/16/2011",103.400001525879,2011-01-16,1,2011
"bttr.us","Jan/16/2011",114.099998474121,2011-01-16,1,2011
"bunya.au","Jan/16/2011",258,2011-01-16,1,2011
"burrawan.au","Jan/16/2011",192.699996948242,2011-01-16,1,2011
"burren.ie","Jan/16/2011",59.7999992370605,2011-01-16,1,2011
"bynb.cn","Jan/16/2011",4.40000009536743,2011-01-16,1,2011
"cbgb.us","Jan/16/2011",28.8000011444092,2011-01-16,1,2011
"cdcr.us","Jan/16/2011",24.8999996185303,2011-01-16,1,2011
"cdpt.us","Jan/16/2011",9.80000019073486,2011-01-16,1,2011
"cereep.fr","Jan/16/2011",44.1000022888184,2011-01-16,1,2011
"chilcas.ar","Jan/16/2011",136.400009155273,2011-01-16,1,2011
"comp.pt","Jan/16/2011",85,2011-01-16,1,2011
"cowi.ca","Jan/16/2011",270.899993896484,2011-01-16,1,2011
"derr.au","Jan/16/2011",135.699996948242,2011-01-16,1,2011
"doane.us","Jan/16/2011",18.1000003814697,2011-01-16,1,2011
"drake.za","Jan/16/2011",231.600006103516,2011-01-16,1,2011
"elkh.us","Jan/16/2011",84,2011-01-16,1,2011
"elliot.us","Jan/16/2011",15.5,2011-01-16,1,2011
"elva.ee","Jan/16/2011",57.2999992370605,2011-01-16,1,2011
"ethamc.au","Jan/16/2011",47,2011-01-16,1,2011
"ethass.au","Jan/16/2011",47,2011-01-16,1,2011
