"site_code","date","pre_mm/month","plotdate","month","year"
"lubb.us","Jan/16/1981",5.59999990463257,1981-01-16,"Jan",1981
"marc.ar","Jan/16/1981",126.5,1981-01-16,"Jan",1981
"mcdan.us","Jan/16/1981",9.30000019073486,1981-01-16,"Jan",1981
"mcla.us","Jan/16/1981",201.699996948242,1981-01-16,"Jan",1981
"meto.us","Jan/16/1981",21,1981-01-16,"Jan",1981
"mitch.au","Jan/16/1981",211,1981-01-16,"Jan",1981
"msla.us","Jan/16/1981",10.1999998092651,1981-01-16,"Jan",1981
"msum.us","Jan/16/1981",3.70000004768372,1981-01-16,"Jan",1981
"mtca.au","Jan/16/1981",10.4000005722046,1981-01-16,"Jan",1981
"neba.jp","Jan/16/1981",14.5,1981-01-16,"Jan",1981
"nilla.au","Jan/16/1981",74.2000045776367,1981-01-16,"Jan",1981
"nioo.nl","Jan/16/1981",103,1981-01-16,"Jan",1981
"niwo.us","Jan/16/1981",5.09999990463257,1981-01-16,"Jan",1981
"ovor.mn","Jan/16/1981",0.900000035762787,1981-01-16,"Jan",1981
"pampa.ar","Jan/16/1981",50.7000007629395,1981-01-16,"Jan",1981
"pape.de","Jan/16/1981",98,1981-01-16,"Jan",1981
"pich.ec","Jan/16/1981",95,1981-01-16,"Jan",1981
"ping.au","Jan/16/1981",1.60000002384186,1981-01-16,"Jan",1981
"pinj.au","Jan/16/1981",104.200004577637,1981-01-16,"Jan",1981
"podo.ec","Jan/16/1981",35.2000007629395,1981-01-16,"Jan",1981
"potrok.ar","Jan/16/1981",14.4000005722046,1981-01-16,"Jan",1981
"ramsay.us","Jan/16/1981",26.8999996185303,1981-01-16,"Jan",1981
"rook.uk","Jan/16/1981",45.7999992370605,1981-01-16,"Jan",1981
"saana.fi","Jan/16/1981",124.800003051758,1981-01-16,"Jan",1981
"sage.us","Jan/16/1981",181.600006103516,1981-01-16,"Jan",1981
"saline.us","Jan/16/1981",3.90000009536743,1981-01-16,"Jan",1981
"sava.us","Jan/16/1981",19.2000007629395,1981-01-16,"Jan",1981
"sedg.us","Jan/16/1981",95.9000015258789,1981-01-16,"Jan",1981
"sereng.tz","Jan/16/1981",45.5,1981-01-16,"Jan",1981
"sevi.us","Jan/16/1981",14.4000005722046,1981-01-16,"Jan",1981
"sgs.us","Jan/16/1981",6.90000009536743,1981-01-16,"Jan",1981
"shps.us","Jan/16/1981",18.5,1981-01-16,"Jan",1981
"sier.us","Jan/16/1981",254.600006103516,1981-01-16,"Jan",1981
"sirsi.in","Jan/16/1981",2.10000014305115,1981-01-16,"Jan",1981
"smith.us","Jan/16/1981",96.9000015258789,1981-01-16,"Jan",1981
"spin.us","Jan/16/1981",11.1999998092651,1981-01-16,"Jan",1981
"spv.ar","Jan/16/1981",17,1981-01-16,"Jan",1981
"summ.za","Jan/16/1981",174.800003051758,1981-01-16,"Jan",1981
"sval.no","Jan/16/1981",45.1000022888184,1981-01-16,"Jan",1981
"temple.us","Jan/16/1981",25.8000011444092,1981-01-16,"Jan",1981
"thth.is","Jan/16/1981",88,1981-01-16,"Jan",1981
"tmlr.is","Jan/16/1981",88,1981-01-16,"Jan",1981
"trel.us","Jan/16/1981",10.5,1981-01-16,"Jan",1981
