"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"abisko.se","Jan/16/1991",-11.3000001907349,1991-01-16,"Jan",1991
"ahth.is","Jan/16/1991",-1,1991-01-16,"Jan",1991
"amcamp.us","Jan/16/1991",2.10000014305115,1991-01-16,"Jan",1991
"amlr.is","Jan/16/1991",-1,1991-01-16,"Jan",1991
"anti.ec","Jan/16/1991",11.6999998092651,1991-01-16,"Jan",1991
"arch.us","Jan/16/1991",20.3000011444092,1991-01-16,"Jan",1991
"azi.cn","Jan/16/1991",-10.6000003814697,1991-01-16,"Jan",1991
"azitwo.cn","Jan/16/1991",-10.6000003814697,1991-01-16,"Jan",1991
"badlau.de","Jan/16/1991",1.80000007152557,1991-01-16,"Jan",1991
"bari.ar","Jan/16/1991",12.4000005722046,1991-01-16,"Jan",1991
"barta.us","Jan/16/1991",-7.90000009536743,1991-01-16,"Jan",1991
"bayr.de","Jan/16/1991",-0.300000011920929,1991-01-16,"Jan",1991
"bldr.us","Jan/16/1991",-5,1991-01-16,"Jan",1991
"bnbt.us","Jan/16/1991",-5.40000009536743,1991-01-16,"Jan",1991
"bnch.us","Jan/16/1991",-2.79999995231628,1991-01-16,"Jan",1991
"bogong.au","Jan/16/1991",18.7000007629395,1991-01-16,"Jan",1991
"bttr.us","Jan/16/1991",-2.79999995231628,1991-01-16,"Jan",1991
"bunya.au","Jan/16/1991",24.3999996185303,1991-01-16,"Jan",1991
"burrawan.au","Jan/16/1991",25.7000007629395,1991-01-16,"Jan",1991
"burren.ie","Jan/16/1991",3.90000009536743,1991-01-16,"Jan",1991
"bynb.cn","Jan/16/1991",-18.8999996185303,1991-01-16,"Jan",1991
"cbgb.us","Jan/16/1991",-9.40000057220459,1991-01-16,"Jan",1991
"cdcr.us","Jan/16/1991",-11.6999998092651,1991-01-16,"Jan",1991
"cdpt.us","Jan/16/1991",-4.30000019073486,1991-01-16,"Jan",1991
"cereep.fr","Jan/16/1991",4.40000009536743,1991-01-16,"Jan",1991
"chilcas.ar","Jan/16/1991",22,1991-01-16,"Jan",1991
"comp.pt","Jan/16/1991",10.6999998092651,1991-01-16,"Jan",1991
"cowi.ca","Jan/16/1991",1,1991-01-16,"Jan",1991
"derr.au","Jan/16/1991",20.3999996185303,1991-01-16,"Jan",1991
"doane.us","Jan/16/1991",-8.5,1991-01-16,"Jan",1991
"drake.za","Jan/16/1991",21.2000007629395,1991-01-16,"Jan",1991
"elkh.us","Jan/16/1991",10.9000005722046,1991-01-16,"Jan",1991
"elliot.us","Jan/16/1991",13.6999998092651,1991-01-16,"Jan",1991
"elva.ee","Jan/16/1991",-2.90000009536743,1991-01-16,"Jan",1991
"ethamc.au","Jan/16/1991",30.2000007629395,1991-01-16,"Jan",1991
"ethass.au","Jan/16/1991",30.2000007629395,1991-01-16,"Jan",1991
"fnly.us","Jan/16/1991",3.90000009536743,1991-01-16,"Jan",1991
"free.de","Jan/16/1991",2.20000004768372,1991-01-16,"Jan",1991
"frue.ch","Jan/16/1991",0.800000011920929,1991-01-16,"Jan",1991
"gall.it","Jan/16/1991",5.20000028610229,1991-01-16,"Jan",1991
"gcnban.cn","Jan/16/1991",-13.6000003814697,1991-01-16,"Jan",1991
"gcndan.cn","Jan/16/1991",-11.9000005722046,1991-01-16,"Jan",1991
"gcnhai.cn","Jan/16/1991",-14.6000003814697,1991-01-16,"Jan",1991
"gcnhon.cn","Jan/16/1991",-8.10000038146973,1991-01-16,"Jan",1991
"gcnhul.cn","Jan/16/1991",-24,1991-01-16,"Jan",1991
"gcnnaq.cn","Jan/16/1991",-16.1000003814697,1991-01-16,"Jan",1991
"gcnsui.cn","Jan/16/1991",-18.8999996185303,1991-01-16,"Jan",1991
"gcnura.cn","Jan/16/1991",-10.1000003814697,1991-01-16,"Jan",1991
"gcnxil.cn","Jan/16/1991",-17.8000011444092,1991-01-16,"Jan",1991
"gcnyan.cn","Jan/16/1991",-6.70000028610229,1991-01-16,"Jan",1991
"gcnyou.cn","Jan/16/1991",-10,1991-01-16,"Jan",1991
"gilb.za","Jan/16/1991",20.2000007629395,1991-01-16,"Jan",1991
"glac.us","Jan/16/1991",3.40000009536743,1991-01-16,"Jan",1991
"glcr.us","Jan/16/1991",-9.40000057220459,1991-01-16,"Jan",1991
"hall.us","Jan/16/1991",2.20000004768372,1991-01-16,"Jan",1991
"hart.us","Jan/16/1991",-3.20000004768372,1991-01-16,"Jan",1991
"hast.us","Jan/16/1991",9.30000019073486,1991-01-16,"Jan",1991
"hero.uk","Jan/16/1991",3.29999995231628,1991-01-16,"Jan",1991
"hnvr.us","Jan/16/1991",-7.30000019073486,1991-01-16,"Jan",1991
"hogone.us","Jan/16/1991",5.40000009536743,1991-01-16,"Jan",1991
"hogtwo.us","Jan/16/1991",5.40000009536743,1991-01-16,"Jan",1991
"hopl.us","Jan/16/1991",7.30000019073486,1991-01-16,"Jan",1991
"hustai.mn","Jan/16/1991",-24,1991-01-16,"Jan",1991
"jasp.us","Jan/16/1991",10,1991-01-16,"Jan",1991
"jena.de","Jan/16/1991",0.800000011920929,1991-01-16,"Jan",1991
"jorn.us","Jan/16/1991",3.5,1991-01-16,"Jan",1991
"kark.se","Jan/16/1991",-11.1999998092651,1991-01-16,"Jan",1991
"kbs.us","Jan/16/1991",-4.59999990463257,1991-01-16,"Jan",1991
"kibber.in","Jan/16/1991",-13.6999998092651,1991-01-16,"Jan",1991
"kidman.au","Jan/16/1991",30.6000003814697,1991-01-16,"Jan",1991
"kilp.fi","Jan/16/1991",-11.8000001907349,1991-01-16,"Jan",1991
"kiny.au","Jan/16/1991",23.3000011444092,1991-01-16,"Jan",1991
"kirik.ee","Jan/16/1991",-0.699999988079071,1991-01-16,"Jan",1991
"koffler.ca","Jan/16/1991",-7.70000028610229,1991-01-16,"Jan",1991
"konz.us","Jan/16/1991",-4.40000009536743,1991-01-16,"Jan",1991
"konzn1b.us","Jan/16/1991",-4.40000009536743,1991-01-16,"Jan",1991
"lagoas.br","Jan/16/1991",27,1991-01-16,"Jan",1991
"lake.us","Jan/16/1991",-12.1999998092651,1991-01-16,"Jan",1991
"lakta.se","Jan/16/1991",-11.3000001907349,1991-01-16,"Jan",1991
"lancaster.uk","Jan/16/1991",2.40000009536743,1991-01-16,"Jan",1991
