"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"abisko.se","Jan/16/2011",-14.3000001907349,2011-01-16,1,2011
"ahth.is","Jan/16/2011",-1.10000002384186,2011-01-16,1,2011
"amcamp.us","Jan/16/2011",3.70000004768372,2011-01-16,1,2011
"amlr.is","Jan/16/2011",-1.10000002384186,2011-01-16,1,2011
"anti.ec","Jan/16/2011",11.4000005722046,2011-01-16,1,2011
"arch.us","Jan/16/2011",16.2000007629395,2011-01-16,1,2011
"azi.cn","Jan/16/2011",-10.5,2011-01-16,1,2011
"azitwo.cn","Jan/16/2011",-10.5,2011-01-16,1,2011
"badlau.de","Jan/16/2011",1.20000004768372,2011-01-16,1,2011
"bari.ar","Jan/16/2011",13.1999998092651,2011-01-16,1,2011
"barta.us","Jan/16/2011",-9,2011-01-16,1,2011
"bayr.de","Jan/16/2011",-0.800000011920929,2011-01-16,1,2011
"bldr.us","Jan/16/2011",-4.30000019073486,2011-01-16,1,2011
"bnbt.us","Jan/16/2011",-5,2011-01-16,1,2011
"bnch.us","Jan/16/2011",-1.60000002384186,2011-01-16,1,2011
"bogong.au","Jan/16/2011",18.2000007629395,2011-01-16,1,2011
"bttr.us","Jan/16/2011",-1.60000002384186,2011-01-16,1,2011
"bunya.au","Jan/16/2011",23.2000007629395,2011-01-16,1,2011
"burrawan.au","Jan/16/2011",24.8000011444092,2011-01-16,1,2011
"burren.ie","Jan/16/2011",3.5,2011-01-16,1,2011
"bynb.cn","Jan/16/2011",-22.8999996185303,2011-01-16,1,2011
"cbgb.us","Jan/16/2011",-8.10000038146973,2011-01-16,1,2011
"cdcr.us","Jan/16/2011",-12.4000005722046,2011-01-16,1,2011
"cdpt.us","Jan/16/2011",-4.90000009536743,2011-01-16,1,2011
"cereep.fr","Jan/16/2011",4.80000019073486,2011-01-16,1,2011
"chilcas.ar","Jan/16/2011",22.8999996185303,2011-01-16,1,2011
"comp.pt","Jan/16/2011",11.6999998092651,2011-01-16,1,2011
"cowi.ca","Jan/16/2011",2.70000004768372,2011-01-16,1,2011
"derr.au","Jan/16/2011",20,2011-01-16,1,2011
"doane.us","Jan/16/2011",-7.30000019073486,2011-01-16,1,2011
"drake.za","Jan/16/2011",20.5,2011-01-16,1,2011
"elkh.us","Jan/16/2011",10.9000005722046,2011-01-16,1,2011
"elliot.us","Jan/16/2011",14.3000001907349,2011-01-16,1,2011
"elva.ee","Jan/16/2011",-5,2011-01-16,1,2011
"ethamc.au","Jan/16/2011",32,2011-01-16,1,2011
"ethass.au","Jan/16/2011",32,2011-01-16,1,2011
"fnly.us","Jan/16/2011",5.09999990463257,2011-01-16,1,2011
"free.de","Jan/16/2011",2.20000004768372,2011-01-16,1,2011
"frue.ch","Jan/16/2011",0.300000011920929,2011-01-16,1,2011
"gall.it","Jan/16/2011",5.30000019073486,2011-01-16,1,2011
"gcnban.cn","Jan/16/2011",-11,2011-01-16,1,2011
"gcndan.cn","Jan/16/2011",-9.19999980926514,2011-01-16,1,2011
"gcnhai.cn","Jan/16/2011",-16.2000007629395,2011-01-16,1,2011
