"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"look.us","Jan/16/1981",1.70000004768372,1981-01-16,"Jan",1981
"lubb.us","Jan/16/1981",5.5,1981-01-16,"Jan",1981
"marc.ar","Jan/16/1981",19.6000003814697,1981-01-16,"Jan",1981
"mcdan.us","Jan/16/1981",-3.29999995231628,1981-01-16,"Jan",1981
"mcla.us","Jan/16/1981",7.59999990463257,1981-01-16,"Jan",1981
"meto.us","Jan/16/1981",0.200000002980232,1981-01-16,"Jan",1981
"mitch.au","Jan/16/1981",28.1000003814697,1981-01-16,"Jan",1981
"msla.us","Jan/16/1981",-2.10000014305115,1981-01-16,"Jan",1981
"msum.us","Jan/16/1981",-10.9000005722046,1981-01-16,"Jan",1981
"mtca.au","Jan/16/1981",25,1981-01-16,"Jan",1981
"neba.jp","Jan/16/1981",-3.10000014305115,1981-01-16,"Jan",1981
"nilla.au","Jan/16/1981",23.5,1981-01-16,"Jan",1981
"nioo.nl","Jan/16/1981",2.40000009536743,1981-01-16,"Jan",1981
"niwo.us","Jan/16/1981",-0.300000011920929,1981-01-16,"Jan",1981
"ovor.mn","Jan/16/1981",-23.3000011444092,1981-01-16,"Jan",1981
"pampa.ar","Jan/16/1981",23.1000003814697,1981-01-16,"Jan",1981
"pape.de","Jan/16/1981",1.10000002384186,1981-01-16,"Jan",1981
"pich.ec","Jan/16/1981",15.6999998092651,1981-01-16,"Jan",1981
"ping.au","Jan/16/1981",24.3000011444092,1981-01-16,"Jan",1981
"pinj.au","Jan/16/1981",24.8000011444092,1981-01-16,"Jan",1981
"podo.ec","Jan/16/1981",16.3000011444092,1981-01-16,"Jan",1981
"potrok.ar","Jan/16/1981",12.3000001907349,1981-01-16,"Jan",1981
"ramsay.us","Jan/16/1981",7.40000009536743,1981-01-16,"Jan",1981
"rook.uk","Jan/16/1981",4.30000019073486,1981-01-16,"Jan",1981
"saana.fi","Jan/16/1981",-15.5,1981-01-16,"Jan",1981
"sage.us","Jan/16/1981",0.600000023841858,1981-01-16,"Jan",1981
"saline.us","Jan/16/1981",-0.200000002980232,1981-01-16,"Jan",1981
"sava.us","Jan/16/1981",5.09999990463257,1981-01-16,"Jan",1981
"sedg.us","Jan/16/1981",11.6000003814697,1981-01-16,"Jan",1981
"sereng.tz","Jan/16/1981",22.3000011444092,1981-01-16,"Jan",1981
"sevi.us","Jan/16/1981",1.70000004768372,1981-01-16,"Jan",1981
"sgs.us","Jan/16/1981",0.5,1981-01-16,"Jan",1981
"shps.us","Jan/16/1981",-2.79999995231628,1981-01-16,"Jan",1981
"sier.us","Jan/16/1981",7.59999990463257,1981-01-16,"Jan",1981
"sirsi.in","Jan/16/1981",23.7000007629395,1981-01-16,"Jan",1981
"smith.us","Jan/16/1981",5.30000019073486,1981-01-16,"Jan",1981
"spin.us","Jan/16/1981",-3,1981-01-16,"Jan",1981
"spv.ar","Jan/16/1981",18.8999996185303,1981-01-16,"Jan",1981
"summ.za","Jan/16/1981",23.3000011444092,1981-01-16,"Jan",1981
"sval.no","Jan/16/1981",-21.8999996185303,1981-01-16,"Jan",1981
"temple.us","Jan/16/1981",8.69999980926514,1981-01-16,"Jan",1981
"thth.is","Jan/16/1981",-6.5,1981-01-16,"Jan",1981
"tmlr.is","Jan/16/1981",-6.5,1981-01-16,"Jan",1981
"trel.us","Jan/16/1981",-4.20000028610229,1981-01-16,"Jan",1981
"tyso.us","Jan/16/1981",-0.800000011920929,1981-01-16,"Jan",1981
"ucsc.us","Jan/16/1981",10.6999998092651,1981-01-16,"Jan",1981
"ufrec.us","Jan/16/1981",11.8000001907349,1981-01-16,"Jan",1981
"ukul.za","Jan/16/1981",20.8999996185303,1981-01-16,"Jan",1981
"unc.us","Jan/16/1981",0.400000005960464,1981-01-16,"Jan",1981
"uwo.ca","Jan/16/1981",-9.69999980926514,1981-01-16,"Jan",1981
"valm.ch","Jan/16/1981",-10.6000003814697,1981-01-16,"Jan",1981
"vaqu.mx","Jan/16/1981",10.6999998092651,1981-01-16,"Jan",1981
"varexp.no","Jan/16/1981",-10.6999998092651,1981-01-16,"Jan",1981
"vargrass.no","Jan/16/1981",-9.69999980926514,1981-01-16,"Jan",1981
"varheath.no","Jan/16/1981",-9.69999980926514,1981-01-16,"Jan",1981
"vass.se","Jan/16/1981",-14.4000005722046,1981-01-16,"Jan",1981
"wupatki.us","Jan/16/1981",11.1999998092651,1981-01-16,"Jan",1981
"xilin.cn","Jan/16/1981",-20.5,1981-01-16,"Jan",1981
"yarra.au","Jan/16/1981",24.1000003814697,1981-01-16,"Jan",1981
"abisko.se","Feb/15/1981",-16.2000007629395,1981-02-15,"Feb",1981
"ahth.is","Feb/15/1981",-4.5,1981-02-15,"Feb",1981
"amcamp.us","Feb/15/1981",5,1981-02-15,"Feb",1981
"amlr.is","Feb/15/1981",-4.5,1981-02-15,"Feb",1981
"anti.ec","Feb/15/1981",11.5,1981-02-15,"Feb",1981
"arch.us","Feb/15/1981",17.8000011444092,1981-02-15,"Feb",1981
"azi.cn","Feb/15/1981",-5.59999990463257,1981-02-15,"Feb",1981
"azitwo.cn","Feb/15/1981",-5.59999990463257,1981-02-15,"Feb",1981
"badlau.de","Feb/15/1981",0,1981-02-15,"Feb",1981
"bari.ar","Feb/15/1981",12.5,1981-02-15,"Feb",1981
"barta.us","Feb/15/1981",-2.70000004768372,1981-02-15,"Feb",1981
"bayr.de","Feb/15/1981",-1.70000004768372,1981-02-15,"Feb",1981
"bldr.us","Feb/15/1981",-1,1981-02-15,"Feb",1981
"bnbt.us","Feb/15/1981",1.10000002384186,1981-02-15,"Feb",1981
"bnch.us","Feb/15/1981",0.100000001490116,1981-02-15,"Feb",1981
"bogong.au","Feb/15/1981",19.1000003814697,1981-02-15,"Feb",1981
"bttr.us","Feb/15/1981",0.100000001490116,1981-02-15,"Feb",1981
"bunya.au","Feb/15/1981",24.7000007629395,1981-02-15,"Feb",1981
"burrawan.au","Feb/15/1981",26.1000003814697,1981-02-15,"Feb",1981
"burren.ie","Feb/15/1981",5,1981-02-15,"Feb",1981
"bynb.cn","Feb/15/1981",-16.3999996185303,1981-02-15,"Feb",1981
"cbgb.us","Feb/15/1981",-1.80000007152557,1981-02-15,"Feb",1981
"cdcr.us","Feb/15/1981",-5.5,1981-02-15,"Feb",1981
"cdpt.us","Feb/15/1981",-0.5,1981-02-15,"Feb",1981
"cereep.fr","Feb/15/1981",3.20000004768372,1981-02-15,"Feb",1981
"chilcas.ar","Feb/15/1981",21.8999996185303,1981-02-15,"Feb",1981
"comp.pt","Feb/15/1981",11.4000005722046,1981-02-15,"Feb",1981
"cowi.ca","Feb/15/1981",4,1981-02-15,"Feb",1981
"derr.au","Feb/15/1981",22.2000007629395,1981-02-15,"Feb",1981
"doane.us","Feb/15/1981",-0.600000023841858,1981-02-15,"Feb",1981
"drake.za","Feb/15/1981",19.7000007629395,1981-02-15,"Feb",1981
"elkh.us","Feb/15/1981",12.5,1981-02-15,"Feb",1981
"elliot.us","Feb/15/1981",15.6000003814697,1981-02-15,"Feb",1981
"elva.ee","Feb/15/1981",-5,1981-02-15,"Feb",1981
"ethamc.au","Feb/15/1981",30.3999996185303,1981-02-15,"Feb",1981
"ethass.au","Feb/15/1981",30.3999996185303,1981-02-15,"Feb",1981
"fnly.us","Feb/15/1981",6.80000019073486,1981-02-15,"Feb",1981
"free.de","Feb/15/1981",0.800000011920929,1981-02-15,"Feb",1981
"frue.ch","Feb/15/1981",-0.699999988079071,1981-02-15,"Feb",1981
"gall.it","Feb/15/1981",4.40000009536743,1981-02-15,"Feb",1981
"gcnban.cn","Feb/15/1981",-8.60000038146973,1981-02-15,"Feb",1981
"gcndan.cn","Feb/15/1981",-6.90000009536743,1981-02-15,"Feb",1981
"gcnhai.cn","Feb/15/1981",-11.6999998092651,1981-02-15,"Feb",1981
"gcnhon.cn","Feb/15/1981",-4.30000019073486,1981-02-15,"Feb",1981
"gcnhul.cn","Feb/15/1981",-22.8000011444092,1981-02-15,"Feb",1981
"gcnnaq.cn","Feb/15/1981",-10.1000003814697,1981-02-15,"Feb",1981
