"site_code","date","pre_mm/month","plotdate","month","year"
"abisko.se","Jan/16/1991",110.300003051758,1991-01-16,"Jan",1991
"ahth.is","Jan/16/1991",56.7000007629395,1991-01-16,"Jan",1991
"amcamp.us","Jan/16/1991",247,1991-01-16,"Jan",1991
"amlr.is","Jan/16/1991",56.7000007629395,1991-01-16,"Jan",1991
"anti.ec","Jan/16/1991",59.7000007629395,1991-01-16,"Jan",1991
"arch.us","Jan/16/1991",110.700004577637,1991-01-16,"Jan",1991
"azi.cn","Jan/16/1991",3.29999995231628,1991-01-16,"Jan",1991
"azitwo.cn","Jan/16/1991",3.29999995231628,1991-01-16,"Jan",1991
"badlau.de","Jan/16/1991",18.3000011444092,1991-01-16,"Jan",1991
"bari.ar","Jan/16/1991",18.3999996185303,1991-01-16,"Jan",1991
"barta.us","Jan/16/1991",10.3000001907349,1991-01-16,"Jan",1991
"bayr.de","Jan/16/1991",30.3999996185303,1991-01-16,"Jan",1991
"bldr.us","Jan/16/1991",12.1000003814697,1991-01-16,"Jan",1991
"bnbt.us","Jan/16/1991",23.2000007629395,1991-01-16,"Jan",1991
"bnch.us","Jan/16/1991",61.4000015258789,1991-01-16,"Jan",1991
"bogong.au","Jan/16/1991",140.800003051758,1991-01-16,"Jan",1991
"bttr.us","Jan/16/1991",61.4000015258789,1991-01-16,"Jan",1991
"bunya.au","Jan/16/1991",136,1991-01-16,"Jan",1991
"burrawan.au","Jan/16/1991",131.699996948242,1991-01-16,"Jan",1991
"burren.ie","Jan/16/1991",96.7000045776367,1991-01-16,"Jan",1991
"bynb.cn","Jan/16/1991",8.19999980926514,1991-01-16,"Jan",1991
"cbgb.us","Jan/16/1991",18.2000007629395,1991-01-16,"Jan",1991
"cdcr.us","Jan/16/1991",9.40000057220459,1991-01-16,"Jan",1991
"cdpt.us","Jan/16/1991",4.40000009536743,1991-01-16,"Jan",1991
"cereep.fr","Jan/16/1991",48.4000015258789,1991-01-16,"Jan",1991
"chilcas.ar","Jan/16/1991",121.099998474121,1991-01-16,"Jan",1991
"comp.pt","Jan/16/1991",56.7999992370605,1991-01-16,"Jan",1991
"cowi.ca","Jan/16/1991",222.300003051758,1991-01-16,"Jan",1991
"derr.au","Jan/16/1991",83.4000015258789,1991-01-16,"Jan",1991
"doane.us","Jan/16/1991",20.1000003814697,1991-01-16,"Jan",1991
"drake.za","Jan/16/1991",187.300003051758,1991-01-16,"Jan",1991
"elkh.us","Jan/16/1991",14.4000005722046,1991-01-16,"Jan",1991
"elliot.us","Jan/16/1991",30.3000011444092,1991-01-16,"Jan",1991
"elva.ee","Jan/16/1991",42.7000007629395,1991-01-16,"Jan",1991
"ethamc.au","Jan/16/1991",93.7000045776367,1991-01-16,"Jan",1991
"ethass.au","Jan/16/1991",93.7000045776367,1991-01-16,"Jan",1991
"fnly.us","Jan/16/1991",76.4000015258789,1991-01-16,"Jan",1991
"free.de","Jan/16/1991",34.2000007629395,1991-01-16,"Jan",1991
"frue.ch","Jan/16/1991",54.2999992370605,1991-01-16,"Jan",1991
"gall.it","Jan/16/1991",26.5,1991-01-16,"Jan",1991
"gcnban.cn","Jan/16/1991",3,1991-01-16,"Jan",1991
"gcndan.cn","Jan/16/1991",0,1991-01-16,"Jan",1991
"gcnhai.cn","Jan/16/1991",2.79999995231628,1991-01-16,"Jan",1991
"gcnhon.cn","Jan/16/1991",5.5,1991-01-16,"Jan",1991
"gcnhul.cn","Jan/16/1991",2.79999995231628,1991-01-16,"Jan",1991
"gcnnaq.cn","Jan/16/1991",5.59999990463257,1991-01-16,"Jan",1991
"gcnsui.cn","Jan/16/1991",0.900000035762787,1991-01-16,"Jan",1991
"gcnura.cn","Jan/16/1991",0.300000011920929,1991-01-16,"Jan",1991
"gcnxil.cn","Jan/16/1991",0.400000005960464,1991-01-16,"Jan",1991
"gcnyan.cn","Jan/16/1991",3.29999995231628,1991-01-16,"Jan",1991
"gcnyou.cn","Jan/16/1991",7.80000019073486,1991-01-16,"Jan",1991
"gilb.za","Jan/16/1991",185.699996948242,1991-01-16,"Jan",1991
"glac.us","Jan/16/1991",177,1991-01-16,"Jan",1991
"glcr.us","Jan/16/1991",25.3999996185303,1991-01-16,"Jan",1991
"hall.us","Jan/16/1991",90.9000015258789,1991-01-16,"Jan",1991
"hart.us","Jan/16/1991",7.90000009536743,1991-01-16,"Jan",1991
"hast.us","Jan/16/1991",28.3999996185303,1991-01-16,"Jan",1991
"hero.uk","Jan/16/1991",93,1991-01-16,"Jan",1991
"hnvr.us","Jan/16/1991",71.5999984741211,1991-01-16,"Jan",1991
"hogone.us","Jan/16/1991",141.400009155273,1991-01-16,"Jan",1991
"hogtwo.us","Jan/16/1991",141.400009155273,1991-01-16,"Jan",1991
"hopl.us","Jan/16/1991",25.3999996185303,1991-01-16,"Jan",1991
"hustai.mn","Jan/16/1991",1.10000002384186,1991-01-16,"Jan",1991
"jasp.us","Jan/16/1991",11.6999998092651,1991-01-16,"Jan",1991
"jena.de","Jan/16/1991",22.2000007629395,1991-01-16,"Jan",1991
"jorn.us","Jan/16/1991",18.3000011444092,1991-01-16,"Jan",1991
"kark.se","Jan/16/1991",144.199996948242,1991-01-16,"Jan",1991
"kbs.us","Jan/16/1991",31,1991-01-16,"Jan",1991
"kibber.in","Jan/16/1991",8.19999980926514,1991-01-16,"Jan",1991
"kidman.au","Jan/16/1991",290.899993896484,1991-01-16,"Jan",1991
"kilp.fi","Jan/16/1991",92.9000015258789,1991-01-16,"Jan",1991
"kiny.au","Jan/16/1991",47.1000022888184,1991-01-16,"Jan",1991
"kirik.ee","Jan/16/1991",56.6000022888184,1991-01-16,"Jan",1991
"koffler.ca","Jan/16/1991",54.2000007629395,1991-01-16,"Jan",1991
"konz.us","Jan/16/1991",20.5,1991-01-16,"Jan",1991
"konzn1b.us","Jan/16/1991",20.5,1991-01-16,"Jan",1991
"lagoas.br","Jan/16/1991",218,1991-01-16,"Jan",1991
"lake.us","Jan/16/1991",8,1991-01-16,"Jan",1991
"lakta.se","Jan/16/1991",110.300003051758,1991-01-16,"Jan",1991
"lancaster.uk","Jan/16/1991",89,1991-01-16,"Jan",1991
"lead.us","Jan/16/1991",216.199996948242,1991-01-16,"Jan",1991
"look.us","Jan/16/1991",80.0999984741211,1991-01-16,"Jan",1991
"lubb.us","Jan/16/1991",25.6000003814697,1991-01-16,"Jan",1991
"marc.ar","Jan/16/1991",108,1991-01-16,"Jan",1991
"mcdan.us","Jan/16/1991",78.5,1991-01-16,"Jan",1991
"mcla.us","Jan/16/1991",19.8999996185303,1991-01-16,"Jan",1991
"meto.us","Jan/16/1991",141.400009155273,1991-01-16,"Jan",1991
"mitch.au","Jan/16/1991",202.300003051758,1991-01-16,"Jan",1991
"msla.us","Jan/16/1991",19.1000003814697,1991-01-16,"Jan",1991
"msum.us","Jan/16/1991",7.40000009536743,1991-01-16,"Jan",1991
"mtca.au","Jan/16/1991",20.8000011444092,1991-01-16,"Jan",1991
"neba.jp","Jan/16/1991",42.2000007629395,1991-01-16,"Jan",1991
"nilla.au","Jan/16/1991",102.200004577637,1991-01-16,"Jan",1991
"nioo.nl","Jan/16/1991",52.9000015258789,1991-01-16,"Jan",1991
"niwo.us","Jan/16/1991",12.1000003814697,1991-01-16,"Jan",1991
"ovor.mn","Jan/16/1991",1,1991-01-16,"Jan",1991
"pampa.ar","Jan/16/1991",155.900009155273,1991-01-16,"Jan",1991
"pape.de","Jan/16/1991",47.7999992370605,1991-01-16,"Jan",1991
"pich.ec","Jan/16/1991",96.9000015258789,1991-01-16,"Jan",1991
"ping.au","Jan/16/1991",11.3000001907349,1991-01-16,"Jan",1991
"pinj.au","Jan/16/1991",159.100006103516,1991-01-16,"Jan",1991
"podo.ec","Jan/16/1991",36.1000022888184,1991-01-16,"Jan",1991
"potrok.ar","Jan/16/1991",12.1000003814697,1991-01-16,"Jan",1991
"ramsay.us","Jan/16/1991",259.200012207031,1991-01-16,"Jan",1991
"rook.uk","Jan/16/1991",93,1991-01-16,"Jan",1991
"saana.fi","Jan/16/1991",92.9000015258789,1991-01-16,"Jan",1991
"sage.us","Jan/16/1991",13.9000005722046,1991-01-16,"Jan",1991
"saline.us","Jan/16/1991",5.59999990463257,1991-01-16,"Jan",1991
"sava.us","Jan/16/1991",168.100006103516,1991-01-16,"Jan",1991
"sedg.us","Jan/16/1991",33.7000007629395,1991-01-16,"Jan",1991
"sereng.tz","Jan/16/1991",119.300003051758,1991-01-16,"Jan",1991
"sevi.us","Jan/16/1991",16.6000003814697,1991-01-16,"Jan",1991
"sgs.us","Jan/16/1991",10.1000003814697,1991-01-16,"Jan",1991
"shps.us","Jan/16/1991",12.6999998092651,1991-01-16,"Jan",1991
"sier.us","Jan/16/1991",18.1000003814697,1991-01-16,"Jan",1991
"sirsi.in","Jan/16/1991",0.100000001490116,1991-01-16,"Jan",1991
"smith.us","Jan/16/1991",223.699996948242,1991-01-16,"Jan",1991
"spin.us","Jan/16/1991",69.0999984741211,1991-01-16,"Jan",1991
"spv.ar","Jan/16/1991",10.9000005722046,1991-01-16,"Jan",1991
"summ.za","Jan/16/1991",175.900009155273,1991-01-16,"Jan",1991
