"sitename","tmp_degrees_Celsius","plotdate","pre_mm/month","Month"
"mtca.au",25,1981-01-16,10.4000005722046,1
"neba.jp",-3.10000014305115,1981-01-16,14.5,1
"nilla.au",23.5,1981-01-16,74.2000045776367,1
"nioo.nl",2.40000009536743,1981-01-16,103,1
"niwo.us",-0.300000011920929,1981-01-16,5.09999990463257,1
"ovor.mn",-23.3000011444092,1981-01-16,0.900000035762787,1
"pampa.ar",23.1000003814697,1981-01-16,50.7000007629395,1
"pape.de",1.10000002384186,1981-01-16,98,1
"pich.ec",15.6999998092651,1981-01-16,95,1
"ping.au",24.3000011444092,1981-01-16,1.60000002384186,1
"pinj.au",24.8000011444092,1981-01-16,104.200004577637,1
"podo.ec",16.3000011444092,1981-01-16,35.2000007629395,1
"potrok.ar",12.3000001907349,1981-01-16,14.4000005722046,1
"ramsay.us",7.40000009536743,1981-01-16,26.8999996185303,1
"rook.uk",4.30000019073486,1981-01-16,45.7999992370605,1
"saana.fi",-15.5,1981-01-16,124.800003051758,1
"sage.us",0.600000023841858,1981-01-16,181.600006103516,1
"saline.us",-0.200000002980232,1981-01-16,3.90000009536743,1
"sava.us",5.09999990463257,1981-01-16,19.2000007629395,1
"sedg.us",11.6000003814697,1981-01-16,95.9000015258789,1
"sereng.tz",22.3000011444092,1981-01-16,45.5,1
"sevi.us",1.70000004768372,1981-01-16,14.4000005722046,1
"sgs.us",0.5,1981-01-16,6.90000009536743,1
"shps.us",-2.79999995231628,1981-01-16,18.5,1
"sier.us",7.59999990463257,1981-01-16,254.600006103516,1
"sirsi.in",23.7000007629395,1981-01-16,2.10000014305115,1
"smith.us",5.30000019073486,1981-01-16,96.9000015258789,1
"spin.us",-3,1981-01-16,11.1999998092651,1
"spv.ar",18.8999996185303,1981-01-16,17,1
"summ.za",23.3000011444092,1981-01-16,174.800003051758,1
"sval.no",-21.8999996185303,1981-01-16,45.1000022888184,1
"temple.us",8.69999980926514,1981-01-16,25.8000011444092,1
"thth.is",-6.5,1981-01-16,88,1
"tmlr.is",-6.5,1981-01-16,88,1
"trel.us",-4.20000028610229,1981-01-16,10.5,1
"tyso.us",-0.800000011920929,1981-01-16,9.10000038146973,1
"ucsc.us",10.6999998092651,1981-01-16,120.300003051758,1
"ufrec.us",11.8000001907349,1981-01-16,13.9000005722046,1
"ukul.za",20.8999996185303,1981-01-16,160.400009155273,1
"unc.us",0.400000005960464,1981-01-16,21.6000003814697,1
"uwo.ca",-9.69999980926514,1981-01-16,52,1
"valm.ch",-10.6000003814697,1981-01-16,235,1
"vaqu.mx",10.6999998092651,1981-01-16,40.4000015258789,1
"varexp.no",-10.6999998092651,1981-01-16,67.5999984741211,1
"vargrass.no",-9.69999980926514,1981-01-16,81.4000015258789,1
"varheath.no",-9.69999980926514,1981-01-16,81.4000015258789,1
"vass.se",-14.4000005722046,1981-01-16,180.100006103516,1
"wupatki.us",11.1999998092651,1981-01-16,26.7000007629395,1
"xilin.cn",-20.5,1981-01-16,1,1
"yarra.au",24.1000003814697,1981-01-16,83.5999984741211,1
"abisko.se",-16.2000007629395,1981-02-15,24.8999996185303,2
"ahth.is",-4.5,1981-02-15,48.4000015258789,2
"amcamp.us",5,1981-02-15,355.200012207031,2
"amlr.is",-4.5,1981-02-15,48.4000015258789,2
"anti.ec",11.5,1981-02-15,97.5,2
"arch.us",17.8000011444092,1981-02-15,73,2
"azi.cn",-5.59999990463257,1981-02-15,0.900000035762787,2
"azitwo.cn",-5.59999990463257,1981-02-15,0.900000035762787,2
"badlau.de",0,1981-02-15,19.5,2
"bari.ar",12.5,1981-02-15,0.699999988079071,2
"barta.us",-2.70000004768372,1981-02-15,12.5,2
"bayr.de",-1.70000004768372,1981-02-15,25.6000003814697,2
"bldr.us",-1,1981-02-15,9.80000019073486,2
"bnbt.us",1.10000002384186,1981-02-15,10.3000001907349,2
"bnch.us",0.100000001490116,1981-02-15,116.800003051758,2
"bogong.au",19.1000003814697,1981-02-15,79.9000015258789,2
"bttr.us",0.100000001490116,1981-02-15,116.800003051758,2
"bunya.au",24.7000007629395,1981-02-15,236.699996948242,2
"burrawan.au",26.1000003814697,1981-02-15,194.400009155273,2
"burren.ie",5,1981-02-15,78.7000045776367,2
"bynb.cn",-16.3999996185303,1981-02-15,10.6000003814697,2
"cbgb.us",-1.80000007152557,1981-02-15,52.6000022888184,2
"cdcr.us",-5.5,1981-02-15,44,2
"cdpt.us",-0.5,1981-02-15,3.20000004768372,2
"cereep.fr",3.20000004768372,1981-02-15,39.6000022888184,2
"chilcas.ar",21.8999996185303,1981-02-15,87.5999984741211,2
"comp.pt",11.4000005722046,1981-02-15,38.7999992370605,2
"cowi.ca",4,1981-02-15,258,2
"derr.au",22.2000007629395,1981-02-15,25.2000007629395,2
"doane.us",-0.600000023841858,1981-02-15,11.6000003814697,2
"drake.za",19.7000007629395,1981-02-15,135.400009155273,2
