"site_code","date","pre_mm/month","plotdate","month","year"
"kirik.ee","Jan/16/2001",51.1000022888184,2001-01-16,"Jan",2001
"koffler.ca","Jan/16/2001",44.2999992370605,2001-01-16,"Jan",2001
"konz.us","Jan/16/2001",38.7000007629395,2001-01-16,"Jan",2001
"konzn1b.us","Jan/16/2001",38.7000007629395,2001-01-16,"Jan",2001
"lagoas.br","Jan/16/2001",165,2001-01-16,"Jan",2001
"lake.us","Jan/16/2001",30.1000003814697,2001-01-16,"Jan",2001
"lakta.se","Jan/16/2001",58.5,2001-01-16,"Jan",2001
"lancaster.uk","Jan/16/2001",68.7000045776367,2001-01-16,"Jan",2001
"lead.us","Jan/16/2001",152.699996948242,2001-01-16,"Jan",2001
"look.us","Jan/16/2001",48.2000007629395,2001-01-16,"Jan",2001
"lubb.us","Jan/16/2001",23.8999996185303,2001-01-16,"Jan",2001
"marc.ar","Jan/16/2001",100.300003051758,2001-01-16,"Jan",2001
"mcdan.us","Jan/16/2001",75.3000030517578,2001-01-16,"Jan",2001
"mcla.us","Jan/16/2001",151.199996948242,2001-01-16,"Jan",2001
"meto.us","Jan/16/2001",61.4000015258789,2001-01-16,"Jan",2001
"mitch.au","Jan/16/2001",41,2001-01-16,"Jan",2001
"msla.us","Jan/16/2001",20.3000011444092,2001-01-16,"Jan",2001
"msum.us","Jan/16/2001",7.30000019073486,2001-01-16,"Jan",2001
"mtca.au","Jan/16/2001",49.1000022888184,2001-01-16,"Jan",2001
"neba.jp","Jan/16/2001",94.2000045776367,2001-01-16,"Jan",2001
"nilla.au","Jan/16/2001",36.2000007629395,2001-01-16,"Jan",2001
"nioo.nl","Jan/16/2001",70.5999984741211,2001-01-16,"Jan",2001
"niwo.us","Jan/16/2001",16.1000003814697,2001-01-16,"Jan",2001
"ovor.mn","Jan/16/2001",1.89999997615814,2001-01-16,"Jan",2001
"pampa.ar","Jan/16/2001",72.4000015258789,2001-01-16,"Jan",2001
"pape.de","Jan/16/2001",53.9000015258789,2001-01-16,"Jan",2001
"pich.ec","Jan/16/2001",217.699996948242,2001-01-16,"Jan",2001
"ping.au","Jan/16/2001",17.8000011444092,2001-01-16,"Jan",2001
"pinj.au","Jan/16/2001",48.7999992370605,2001-01-16,"Jan",2001
"podo.ec","Jan/16/2001",195.900009155273,2001-01-16,"Jan",2001
"potrok.ar","Jan/16/2001",37.9000015258789,2001-01-16,"Jan",2001
"ramsay.us","Jan/16/2001",127.200004577637,2001-01-16,"Jan",2001
"rook.uk","Jan/16/2001",104,2001-01-16,"Jan",2001
"saana.fi","Jan/16/2001",60.7000007629395,2001-01-16,"Jan",2001
"sage.us","Jan/16/2001",99.8000030517578,2001-01-16,"Jan",2001
"saline.us","Jan/16/2001",18.3000011444092,2001-01-16,"Jan",2001
"sava.us","Jan/16/2001",60.2000007629395,2001-01-16,"Jan",2001
"sedg.us","Jan/16/2001",148,2001-01-16,"Jan",2001
"sereng.tz","Jan/16/2001",195,2001-01-16,"Jan",2001
